Species2,Common_name,Confirmed
Istiompax indica,Aguja negra,*
Istiophorus platypterus,el Pez-vela,*
Isurus oxyrinchus,"Marrajo dientudo, Tiburón mako",*
Johnrandallia nigrirostris,"Mariposa barbero, Mariposa limón",*
Kajikia audax,Merlín rayado,*
Kathetostoma averruncus,"Miracielo buldog, Miraestrella sapo",*
Katsuwonus pelamis,Barrilete listado,*
Kyphosus azureus,"Chopa azul, Chopa bonita",*
Kyphosus elegans,Chopa de Cortés,*
Kyphosus ocyurus,Chopa salema,*
Kyphosus sectatrix,Chopa de Revillagigedos,*
Kyphosus vaigiensis,Chopa rayada,*
Labrisomus multiporosus,"Trambollo curiche, Trambollo poroso",*
Labrisomus wigginsi,Trambollo de Baja,*
Labrisomus xanti,"Trambollo boca grande, Trambollo bocón, el Chalado",*
Lactoria diaphana,"Cofre espinoso, Torito panzón",*
Lagocephalus lagocephalus,"Botete oceánico, Tamboril oceánico",*
Lampris incognitus,opah ojo chico,*
Larimus acclivis,"Bombache boquinete, Corvina ñata rayada, Cajera rayada",*
Larimus argenteus,"Bombache boquituerta, Boquinete chato, Corvina ñata plateada, Cajera plateada",*
Larimus effulgens,"Boquinete boca de novia, Bombache ñato brillante",*
Larimus pacificus,"Bombache cajeta, Boquinete del Pacífico, Corvina ñata común",*
Lepidopus fitchi,pez-cinta del Pacífico,*
Lepophidium microlepis,Congriperla plateada,*
Lepophidium negropinna,"Congriperla pinta, Congriperla pintada",*
Lepophidium pardale,Congriperla leopardo,*
Lepophidium prorates,Congriperla cornuda,*
Lepophidium stigmatistium,"Congriperla aleta manchada, Congriperla mexicana",*
Letharchus rosenblatti,Tieso-vela negro,*
Leuresthes sardina,Pejerrey sardina,*
Lile nigrofasciata,"Piquitinga franja-negra, Sardinita raya negra",*
Lile stolifera,"Piquitinga pelada, Sardina rayada, Sardinita rayada",*
Liopropoma fasciatum,Menta arcoiris,*
Liopropoma longilepis,Menta aleta escamosa,*
Lobotes pacifica,"Berrugate del Pacífico Oriental, Dormilona del Pacífico Oriental",*
Lonchopisthus sinuscalifornicus,Bocón cola larga,*
Lophiodes caulinaris,rape rabo manchado,*
Lophiodes spilurus,"rape de hebra, rape rabo delgado",*
